cityName;population;coords;country
Delhi;26495000;Point(77.216666666 28.666666666);India
Beijing;21893095;Point(116.407526 39.90403);China
Chengdu;20937757;Point(104.063333333 30.66);China
Guangzhou;18676605;Point(113.26 23.13);China
Dhaka;16800000;Point(90.394444444 23.728888888);Bangladesh
Bengaluru;12327000;Point(77.5912997 12.9791198);India
Hangzhou;11936010;Point(120.1675 30.25);China
Baoding;11544036;Point(115.48452 38.86712);China
Dongguan;10466625;Point(113.74928 23.04749);China
Changsha;10047914;Point(112.97087 28.19874);China
Harbin;10009854;Point(126.633333333 45.75);China
Cairo;9801536;Point(31.235833333 30.044444444);Egypt
Foshan;9498863;Point(113.105556 23.029167);China
Handan;9413990;Point(114.48937 36.61161);China
Hefei;9369881;Point(117.28083 31.86389);China
Changchun;9066906;Point(125.322777777 43.88);China
Ganzhou;8970014;Point(114.933611111 25.829166666);China
Heze;8795939;Point(115.433333333 35.233333333);China
Hanoi;8717600;Point(105.84117 21.0245);Vietnam
Fuzhou;8291268;Point(119.291666666 26.076944444);China
Fuyang;8200264;Point(115.80447 32.89856);China
Baghdad;8126755;Point(44.366111111 33.315277777);Iraq
Bogotá;8034649;Point(-74.08175 4.60971);Colombia
Ahmedabad;7645000;Point(72.579722222 23.021944444);India
Dalian;7450785;Point(121.6 38.9);China
Cangzhou;7300783;Point(116.84519 38.30369);China
Bijie;6899636;Point(105.28627 27.30193);China
Hengyang;6645243;Point(112.58568 26.89676);China
Chennai;6599000;Point(80.275 13.0825);India
Guiyang;5987018;Point(106.707777777 26.579444444);China
Changde;5827200;Point(111.6839 29.03966);China
Ankara;5803482;Point(32.83869 39.93576);Turkey
Addis Ababa;5704000;Point(38.736944444 9.027222222);Ethiopia
Bangkok;5676648;Point(100.516666666 13.75);Thailand
Abidjan;5616633;Point(-4.026666666 5.336388888);Ivory Coast
Dezhou;5611194;Point(116.31046 37.45127);China
Anyang;5477614;Point(114.34614 36.09561);South Korea
Dazhou;5468097;Point(107.49472 31.2152);China
Alexandria;5362517;Point(29.8925 31.1975);Egypt
Changzhou;5278121;Point(119.969166666 31.812166666);China
Guilin;5085500;Point(110.283333333 25.266666666);China
Bozhou;4996844;Point(115.77422 33.86264);China
Chenzhou;4744500;Point(113.02667 25.79893);China
Dar es Salaam;4715000;Point(39.280277777 -6.816111111);Tanzania
Hengshui;4472000;Point(115.68599 37.73484);China
Giza;4458135;Point(31.2118 29.987);Egypt
Guigang;4409200;Point(109.594444444 23.114444444);China
Chifeng;4341245;Point(118.8825 42.255);China
Bamako;4227569;Point(-7.992222222 12.645833333);Mali
Anqing;4165284;Point(117.033333333 30.5);China
Guang'an;4124100;Point(106.63358 30.46729);China
Amman;4007526;Point(35.933333333 31.95);Jordan
Chuzhou;3987054;Point(118.31148 32.30621);China
Dubai;3944751;Point(55.309444444 25.269722222);United Arab Emirates
Binzhou;3928568;Point(118.0125 37.380555555);China
Deyang;3877000;Point(104.39499 31.12892);China
Berlin;3782202;Point(13.383333333 52.516666666);Germany
Cape Town;3776313;Point(18.423888888 -33.925277777);South Africa
Baise;3669400;Point(106.61943 23.90103);China
Hechi;3545700;Point(108.085 24.692777777);China
Chengde;3473201;Point(117.932222222 40.973888888);China
Busan;3453198;Point(129.075 35.18);South Korea
Changzhi;3334565;Point(113.09695 36.19529);China
Anshan;3325372;Point(122.98945 41.10662);China
Baoji;3321853;Point(107.17507 34.36094);China
Datong;3318054;Point(113.291388888 40.093611111);China
Bengbu;3296408;Point(117.35312 32.93537);China
Bazhong;3283148;Point(106.75586 31.85764);China
Chittagong;3230507;Point(91.8325 22.335);Bangladesh
Casablanca;3218036;Point(-71.416666666 -33.316666666);Morocco
Hanzhong;3211462;Point(107.02598 33.07938);China
Cần Thơ;3207000;Point(105.5005357 10.1547298);Vietnam
Faisalabad;3203846;Point(73.079 31.418);Pakistan
Buenos Aires;3121707;Point(-58.381944444 -34.599722222);Argentina
Heyuan;3093900;Point(114.69229 23.75033);China
Brasília;2996899;Point(-47.882777777 -15.793888888);Brazil
Daqing;2904532;Point(125.00798 46.59791);China
Bursa;2901396;Point(29.080538888 40.191330555);Turkey
Bandung;2875673;Point(107.607083055 -6.921845833);Indonesia
Haikou;2873358;Point(110.32 20.02);China
Da Nang;2819900;Point(108.209722222 16.069444444);Vietnam
Douala;2768436;Point(9.7 4.05);Cameroon
Chicago;2746388;Point(-87.627777777 41.881944444);United States
Baotou;2709378;Point(109.83454 40.65621);China
Brisbane;2706966;Point(153.027777777 -27.467777777);Australia
Dingxi;2698624;Point(104.626278 35.580611);China
Damascus;2685360;Point(36.291944444 33.513055555);Syria
Gazipur;2677715;Point(90.375 23.988888888);Bangladesh
Chaozhou;2656600;Point(116.63 23.67);China
Guayaquil;2650288;Point(-79.8875 -2.19);Ecuador
Ankang;2493436;Point(109.02352 32.68774);China
Havana;2492618;Point(-82.358888888 23.136666666);Cuba
Guangyuan;2484122;Point(105.83985 32.43529);China
Cali;2471474;Point(-76.519722222 3.44);Colombia
Anshun;2470630;Point(105.93401 26.24562);China
Dandong;2444697;Point(124.383333333 40.116666666);China
Daegu;2444412;Point(128.601666666 35.871666666);South Korea
Antalya;2426356;Point(30.69556 36.90812);Turkey
Beirut;2421354;Point(35.513055555 33.886944444);Lebanon
Bekasi;2381053;Point(107.0 -6.233333333);Indonesia
Ghaziabad;2375820;Point(77.416666666 28.666666666);India
Algiers;2364230;Point(3.058611111 36.776388888);Algeria
Depok;2330333;Point(106.8173077 -6.405031);Indonesia
Belo Horizonte;2315560;Point(-43.941944444 -19.928055555);Brazil
Baku;2300500;Point(49.835183333 40.366655555);Azerbaijan
Caracas;2245744;Point(-66.914444444 10.506111111);Venezuela
Almaty;2228675;Point(76.915 43.24);Kazakhstan
Dongying;2193518;Point(118.466666666 37.45);China
Harare;2150000;Point(31.052222222 -17.829166666);Zimbabwe
Brazzaville;2145783;Point(15.271111111 -4.269444444);Republic of the Congo
Haiphong;2124500;Point(106.666666666 20.8);Vietnam
Chongzuo;2099400;Point(107.366666666 22.416666666);China
Hezhou;2072600;Point(111.547777777 24.416388888);China
Baicheng;2032356;Point(122.832 45.6148);China
Gujranwala;2027001;Point(74.183333333 32.15);Pakistan
Aleppo;2003671;Point(37.16 36.2);Syria
Hamburg;1910160;Point(10.0 53.55);Germany
Fushun;1861372;Point(123.89173 41.87085);China
Beihai;1853227;Point(109.1 21.466666666);China
Fuxin;1819339;Point(121.648553 42.012669);China
Bhopal;1798218;Point(77.416666666 23.25);India
Accra;1782150;Point(-0.1969 5.55602);Ghana
Benin City;1780000;Point(5.6145 6.3176);Nigeria
Adana;1765981;Point(35.31346 37.00262);Turkey
Garoua;1750000;Point(13.4 9.3);Cameroon
Diyarbakır;1732396;Point(40.236666666 37.910833333);Turkey
Barcelona;1731649;Point(2.176944444 41.3825);Spain
Bucharest;1716961;Point(26.097777777 44.413361111);Romania
Benxi;1709538;Point(123.76097 41.29204);China
Baiyin;1708751;Point(104.1766 36.5448);China
Abuja;1693400;Point(7.491388888 9.055555555);Nigeria
Budapest;1685209;Point(19.040833333 47.498333333);Hungary
Gaziantep;1680723;Point(37.379166666 37.062777777);Turkey
Heihe;1673899;Point(127.488611 50.245833);China
Bayannur;1669915;Point(107.414444444 40.756666666);China
Conakry;1667864;Point(-13.712222222 9.509166666);Guinea
Fukuoka;1603043;Point(130.401666666 33.59);Japan
Agra;1585705;Point(78.02 27.18);India
Abu Dhabi;1570000;Point(54.396944444 24.451111111);United Arab Emirates
Hebi;1569208;Point(114.2887 35.74975);China
Ciudad Juárez;1512450;Point(-106.42 31.6685);Mexico
Guiping;1511011;Point(110.083333333 23.4);China
Gwangju;1490092;Point(126.916666666 35.166666666);South Korea
Daejeon;1475221;Point(127.385 36.35);South Korea
Auckland;1470100;Point(174.765277777 -36.849166666);New Zealand
Dakar;1438725;Point(-17.432 14.672555555);Senegal
Guyuan;1426000;Point(106.27816 36.00801);China
Faridabad;1404653;Point(77.31316 28.41124);India
Haidong;1396845;Point(102.10315 36.50145);China
Adelaide;1387290;Point(138.6 -34.9275);Australia
Guadalajara;1385621;Point(-103.342222222 20.676388888);Mexico
Chizhou;1342764;Point(117.48487 30.65826);China
Barranquilla;1326588;Point(-74.801944444 10.983333333);Colombia
Basra;1326564;Point(47.81 30.515);Iraq
Calgary;1306784;Point(-114.066666666 51.05);Canada
Dallas;1304379;Point(-96.808888888 32.779166666);United States
Baishan;1296127;Point(126.41794 41.93771);China
Antananarivo;1275207;Point(47.525 -18.91);Madagascar
Balıkesir;1250610;Point(27.884166666 39.651111111);Turkey
Hargeisa;1227620;Point(44.060556 9.565556);Somaliland
Beiliu;1211637;Point(110.35 22.7);China
Belgrade;1197714;Point(20.456944444 44.817777777);Serbia
Batam;1196396;Point(104.053055555 1.13);Indonesia
Bishkek;1191000;Point(74.566666666 42.866666666);Kyrgyzstan
Doha;1186023;Point(51.529444444 25.286111111);Qatar
Ahvaz;1184788;Point(48.684166666 31.318888888);Iran
Chelyabinsk;1176770;Point(61.4 55.15);Russia
Aurangabad;1175116;Point(75.32 19.88);India
Bandar Lampung;1166761;Point(105.2625 -5.429444444);Indonesia
Amritsar;1159227;Point(74.87704 31.626917);India
Aden;1154410;Point(45.033333333 12.8);Yemen
Birmingham;1137100;Point(-1.9025 52.48);United Kingdom
Guwahati;1116267;Point(91.750238 26.1805876);Assam
Biên Hòa;1104000;Point(106.822136 10.950764);Vietnam
Cologne;1087353;Point(6.957777777 50.942222222);Germany
Ezhou;1079353;Point(114.88418 30.39724);China
Astana;1078362;Point(71.433333333 51.133333333);Kazakhstan
Gwalior;1069276;Point(78.1775 26.2125);India
Goyang;1061929;Point(126.835 37.656388888);South Korea
Barquisimeto;1059092;Point(-69.346694444 10.067777777);Venezuela
Hegang;1058665;Point(130.2775 47.313889);China
Chandigarh;1055450;Point(76.788333333 30.736388888);India
Fangchenggang;1046068;Point(108.3 21.6);China
Ashgabat;1030063;Point(58.383333333 37.95);Turkmenistan
Denizli;1027782;Point(29.096388888 37.783333333);Turkey
Edmonton;1010899;Point(-113.5 53.533333333);Canada
Changwon;1009998;Point(128.681111111 35.228055555);South Korea
