Country1,Country2,similarity,shared_attributes
Peru,Bolivia,0.4444444444444444,"[South America, Spanish, Aymara, Quechua]"
Bolivia,Peru,0.4444444444444444,"[South America, Spanish, Aymara, Quechua]"
Chad,Republic of the Congo,0.42857142857142855,"[Africa, French, Central African CFA franc]"
Republic of the Congo,Chad,0.42857142857142855,"[Africa, French, Central African CFA franc]"
Germany,Austria,0.42857142857142855,"[Europe, German, Euro]"
Austria,Germany,0.42857142857142855,"[Europe, German, Euro]"
Chile,Peru,0.4,"[South America, Spanish, Chilean peso]"
Peru,Chile,0.4,"[South America, Spanish, Chilean peso]"
Honduras,Cuba,0.3333333333333333,"[North America, Spanish]"
Chad,Cameroon,0.3333333333333333,"[Africa, French, Central African CFA franc]"
Republic of the Congo,Cameroon,0.3333333333333333,"[Africa, French, Central African CFA franc]"
Cameroon,Republic of the Congo,0.3333333333333333,"[Africa, French, Central African CFA franc]"
Cameroon,Chad,0.3333333333333333,"[Africa, French, Central African CFA franc]"
Cuba,Honduras,0.3333333333333333,"[North America, Spanish]"
Lebanon,Oman,0.3333333333333333,"[Asia, Arabic]"
Lebanon,Kuwait,0.3333333333333333,"[Asia, Arabic]"
Kuwait,Oman,0.3333333333333333,"[Asia, Arabic]"
Kuwait,Lebanon,0.3333333333333333,"[Asia, Arabic]"
Oman,Kuwait,0.3333333333333333,"[Asia, Arabic]"
Oman,Lebanon,0.3333333333333333,"[Asia, Arabic]"
Dominican Republic,Chile,0.3,"[Spanish, Dominican peso]"
Chile,Dominican Republic,0.3,"[Spanish, Dominican peso]"
Chad,Mauritania,0.2857142857142857,"[Africa, Arabic]"
Cuba,Dominican Republic,0.2857142857142857,"[North America, Spanish]"
Honduras,Dominican Republic,0.2857142857142857,"[North America, Spanish]"
Dominican Republic,Honduras,0.2857142857142857,"[North America, Spanish]"
Dominican Republic,Cuba,0.2857142857142857,"[North America, Spanish]"
Liberia,Ghana,0.2857142857142857,"[Africa, English]"
Jordan,Kuwait,0.2857142857142857,"[Asia, Arabic]"
Jordan,Oman,0.2857142857142857,"[Asia, Arabic]"
Jordan,Lebanon,0.2857142857142857,"[Asia, Arabic]"
Lebanon,Jordan,0.2857142857142857,"[Asia, Arabic]"
Kuwait,Jordan,0.2857142857142857,"[Asia, Arabic]"
Oman,Jordan,0.2857142857142857,"[Asia, Arabic]"
Algeria,Mauritania,0.2857142857142857,"[Africa, Arabic]"
Angola,Mozambique,0.2857142857142857,"[Africa, Portuguese]"
Mozambique,Angola,0.2857142857142857,"[Africa, Portuguese]"
Ghana,Liberia,0.2857142857142857,"[Africa, English]"
Mauritania,Algeria,0.2857142857142857,"[Africa, Arabic]"
Mauritania,Chad,0.2857142857142857,"[Africa, Arabic]"
Kenya,Liberia,0.25,"[Africa, English]"
Chad,Guinea,0.25,"[Africa, French]"
Chad,Algeria,0.25,"[Africa, Arabic]"
Chad,Madagascar,0.25,"[Africa, French]"
Republic of the Congo,Guinea,0.25,"[Africa, French]"
Republic of the Congo,Madagascar,0.25,"[Africa, French]"
Madagascar,Republic of the Congo,0.25,"[Africa, French]"
Madagascar,Guinea,0.25,"[Africa, French]"
Madagascar,Chad,0.25,"[Africa, French]"
Guinea,Republic of the Congo,0.25,"[Africa, French]"
Guinea,Madagascar,0.25,"[Africa, French]"
Guinea,Chad,0.25,"[Africa, French]"
Germany,Italy,0.25,"[Europe, Euro]"
Germany,Spain,0.25,"[Europe, Euro]"
Austria,Italy,0.25,"[Europe, Euro]"
Austria,Spain,0.25,"[Europe, Euro]"
Spain,Austria,0.25,"[Europe, Euro]"
Spain,Italy,0.25,"[Europe, Euro]"
Spain,Germany,0.25,"[Europe, Euro]"
Italy,Spain,0.25,"[Europe, Euro]"
Italy,Austria,0.25,"[Europe, Euro]"
Italy,Germany,0.25,"[Europe, Euro]"
Liberia,Kenya,0.25,"[Africa, English]"
Algeria,Chad,0.25,"[Africa, Arabic]"
Oman,Iraq,0.2222222222222222,"[Asia, Arabic]"
Cameroon,Liberia,0.2222222222222222,"[Africa, English]"
Argentina,Peru,0.2222222222222222,"[South America, Spanish]"
Iraq,Kuwait,0.2222222222222222,"[Asia, Arabic]"
Iraq,Oman,0.2222222222222222,"[Asia, Arabic]"
Iraq,Lebanon,0.2222222222222222,"[Asia, Arabic]"
Lebanon,Iraq,0.2222222222222222,"[Asia, Arabic]"
Kuwait,Iraq,0.2222222222222222,"[Asia, Arabic]"
Kenya,Ghana,0.2222222222222222,"[Africa, English]"
Ghana,Kenya,0.2222222222222222,"[Africa, English]"
Morocco,Mauritania,0.2222222222222222,"[Africa, Arabic]"
Mauritania,Morocco,0.2222222222222222,"[Africa, Arabic]"
Peru,Argentina,0.2222222222222222,"[South America, Spanish]"
