Nama_Kota,ID_Komunitas,Komunitas
Addis Ababa,97,Blok Afrika Tengah & Barat (Frankofon)
Antananarivo,97,Blok Afrika Tengah & Barat (Frankofon)
Brazzaville,97,Blok Afrika Tengah & Barat (Frankofon)
Conakry,97,Blok Afrika Tengah & Barat (Frankofon)
Douala,97,Blok Afrika Tengah & Barat (Frankofon)
Garoua,97,Blok Afrika Tengah & Barat (Frankofon)
Kananga,97,Blok Afrika Tengah & Barat (Frankofon)
Kinshasa,97,Blok Afrika Tengah & Barat (Frankofon)
Kisangani,97,Blok Afrika Tengah & Barat (Frankofon)
Lubumbashi,97,Blok Afrika Tengah & Barat (Frankofon)
Mbuji-Mayi,97,Blok Afrika Tengah & Barat (Frankofon)
N'Djamena,97,Blok Afrika Tengah & Barat (Frankofon)
Pointe-Noire,97,Blok Afrika Tengah & Barat (Frankofon)
Tshikapa,97,Blok Afrika Tengah & Barat (Frankofon)
Yaoundé,97,Blok Afrika Tengah & Barat (Frankofon)
Guadalajara,109,Blok Budaya Amerika Tengah (Meksiko)
Havana,109,Blok Budaya Amerika Tengah (Meksiko)
Mexico City,109,Blok Budaya Amerika Tengah (Meksiko)
Monterrey,109,Blok Budaya Amerika Tengah (Meksiko)
Tegucigalpa,109,Blok Budaya Amerika Tengah (Meksiko)
Tijuana,109,Blok Budaya Amerika Tengah (Meksiko)
Zapopan,109,Blok Budaya Amerika Tengah (Meksiko)
Barranquilla,110,Blok Hispanik (Amerika Latin & Spanyol)
Bogotá,110,Blok Hispanik (Amerika Latin & Spanyol)
Buenos Aires,110,Blok Hispanik (Amerika Latin & Spanyol)
Cali,110,Blok Hispanik (Amerika Latin & Spanyol)
Casablanca,110,Blok Hispanik (Amerika Latin & Spanyol)
Marrakesh,110,Blok Hispanik (Amerika Latin & Spanyol)
Medellín,110,Blok Hispanik (Amerika Latin & Spanyol)
Rosario,110,Blok Hispanik (Amerika Latin & Spanyol)
Santa Cruz de la Sierra,110,Blok Hispanik (Amerika Latin & Spanyol)
Santiago,110,Blok Hispanik (Amerika Latin & Spanyol)
Santiago de los Caballeros,110,Blok Hispanik (Amerika Latin & Spanyol)
Santo Domingo,110,Blok Hispanik (Amerika Latin & Spanyol)
Tangier,110,Blok Hispanik (Amerika Latin & Spanyol)
Almaty,114,Blok Eropa Kontinental
Astana,114,Blok Eropa Kontinental
Barcelona,114,Blok Eropa Kontinental
Berlin,114,Blok Eropa Kontinental
