Language,score
Arabic,3.325299642931034
Spanish,3.1101149450395815
English,2.746196093001395
French,1.9644479459616986
Portuguese,1.415698239167843
Russian,0.8240859681229051
German,0.7701868479280951
Aymara,0.6883973885977592
Quechua,0.6883973885977592
Auslan,0.5436018216424621
Australian English,0.5436018216424621
Bangla,0.5298026886380839
Khmer,0.5298026886380839
Malay,0.5298026886380839
Mongolian,0.5298026886380839
Kyrgyz,0.5298026886380839
Azerbaijani,0.5286265996865427
Azerbaijani Sign Language,0.5286265996865427
Armenian,0.5286265996865427
Korean,0.5286265996865427
North Korean standard language,0.5286265996865427
Burmese,0.5276917641245937
Persian,0.5276917641245937
Japanese,0.5242652493793205
Bulgarian,0.5237105492700049
Czech,0.5237105492700049
Hungarian,0.5237105492700049
Indonesian,0.5235427306317221
Amharic,0.5138553040061242
New Zealand Sign Language,0.5043859593751224
Māori,0.5043859593751224
Hindi,0.5033277022077048
Uzbek,0.49653346629924455
Turkmen,0.49653346629924455
Balochi,0.49653346629924455
Pashto,0.49653346629924455
Pashayi,0.49653346629924455
Nuristani,0.49653346629924455
Dari,0.49653346629924455
Pamir,0.49653346629924455
Belarusian,0.4951385089307018
Yucatec Maya,0.487655999087373
Nahuatl,0.487655999087373
Kurdish,0.4861697457569575
Urdu,0.4846132474946629
Italian,0.4792137079859881
Kazakh,0.4789474591922032
Swahili,0.47582296830873055
Standard Algerian Berber,0.4684573729796977
Malagasy,0.46737814656241466
languages of Guinea,0.46737814656241466
Austrian Sign Language,0.4600934239640475
Mirandese,0.4452467024282596
Standard Moroccan Tamazight,0.4378391008553731
Guarani,0.43415571405843334
