ID_Komunitas,Komunitas,Semua_Anggota,Total_Entitas
302,Blok Ekonomi Asia Pasifik,"[Baku, Azerbaijan, Asia, Azerbaijani, Azerbaijani Sign Language, Azerbaijani manat, Gazipur, Hiroshima, Sapporo, Fukuoka, Nagoya, Osaka, Sendai, Kobe, Kyoto, Tokyo, Yokohama, Phnom Penh, Yerevan, Pyongyang, Kuala Lumpur, Yangon, Mandalay, Naypyidaw, Bangladesh, Japan, Cambodia, Armenia, North Korea, Malaysia, Myanmar, Bangla, Japanese, Khmer, Armenian, Korean, Malay, Burmese, Bangladeshi taka, Japanese yen, Cambodian riel, Armenian dram sign, Armenian dram, North Korean won, Malaysian ringgit, Myanmar kyat, Ahvaz, Ulaanbaatar, Isfahan, Tehran, Beirut, Bishkek, Iran, Mongolia, Lebanon, Kyrgyzstan, Persian, Mongolian, Kyrgyz, North Korean standard language, Iranian rial, Mongolian tögrög, Lebanese pound, Kyrgyz som]",64
114,Blok Eropa Kontinental,"[Hamburg, Berlin, Vienna, Madrid, Barcelona, Shymkent, Minsk, Almaty, Astana, Sofia, Rome, Milan, Prague, Germany, Austria, Spain, Kazakhstan, Belarus, Bulgaria, Italy, Czech Republic, Europe, German, Russian, Bulgarian, Italian, Czech, Kazakh, Belarusian, Euro, Kazakhstani tenge, Belarusian ruble, Bulgarian lev, Czech koruna, Budapest, Hungary, Hungarian, Hungarian forint, Austrian Sign Language]",39
122,Blok Regional India,"[Surat, Jodhpur, Mumbai, Vadodara, Rajkot, Thane, Ahmedabad, Gwalior, Prayagraj, Bhopal, Kolkata, Bengaluru, Pune, Lucknow, Ludhiana, Aurangabad, Madurai, Meerut, Vijayawada, India, Hindi, Agra, Jabalpur, Nagpur, Amritsar, Nashik, Delhi, Raipur, Jamshedpur, Kanpur, Patna, Howrah, Jaipur, Visakhapatnam, Ghaziabad, Vasai-Virar, Srinagar, Ranchi, Faridabad]",39
228,Blok Asia Tengah & Mauritania,"[Kabul, Nouakchott, Afghanistan, Mauritania, Uzbek, Turkmen, Arabic, Balochi, Pashto, Pashayi, Nuristani, Dari, Afghan afghani, Mauritanian ouguiya, Amman, Basra, Irbid, Kuwait City, Mosul, Muscat, Algiers, Baghdad, Jordan, Iraq, Kuwait, Oman, Algeria, Pamir, Kurdish, Standard Algerian Berber, Jordanian dinar, Iraqi dinar, Kuwaiti dinar, Omani rial, Algerian dinar]",35
97,Blok Afrika Tengah & Barat (Frankofon),"[N'Djamena, Pointe-Noire, Yaoundé, Mbuji-Mayi, Lubumbashi, Douala, Tshikapa, Garoua, Brazzaville, Antananarivo, Kisangani, Kinshasa, Conakry, Kananga, Chad, Republic of the Congo, Cameroon, Democratic Republic of the Congo, Madagascar, Guinea, Africa, French, Central African CFA franc, Congolese franc, Malagasy ariary, Guinean franc, Malagasy, Addis Ababa, Ethiopia, languages of Guinea, Amharic, Ethiopian birr]",32
110,Blok Hispanik (Amerika Latin & Spanyol),"[Cali, Rosario, Santo Domingo, Medellín, Bogotá, Buenos Aires, Casablanca, Santiago, Santiago de los Caballeros, Santa Cruz de la Sierra, Barranquilla, Colombia, Argentina, Chile, Dominican Republic, Peru, Bolivia, South America, Spanish, Colombian peso, Argentine peso, Dominican peso, Moroccan dirham, Chilean peso, Bolivian boliviano, Tangier, Marrakesh, Morocco, Aymara, Quechua, Standard Moroccan Tamazight, Guarani]",32
119,Blok Commonwealth (Oceania & Afrika Timur),"[Monrovia, Liberia, English, Liberian dollar, Nairobi, Kumasi, Mombasa, Accra, Auckland, Kenya, Ghana, New Zealand, Oceania, Swahili, Kenyan shilling, Ghanaian cedi, New Zealand dollar, Sydney, Adelaide, Perth, Melbourne, Brisbane, Australia, Auslan, New Zealand Sign Language, Māori, Australian English, Australian dollar]",28
221,Blok Regional Nigeria,"[Abuja, Ogbomosho, Onitsha, Lagos, Ibadan, Port Harcourt, Nigeria, Nigerian naira, Luanda, Matola, Maputo, Manaus, Brasília, São Paulo, Angola, Mozambique, Portugal, Brazil, Portuguese, Angolan kwanza, Mozambican metical, Brazilian real, Mirandese]",23
109,Blok Budaya Amerika Tengah (Meksiko),"[Havana, Monterrey, Guadalajara, Tijuana, Mexico City, Zapopan, Tegucigalpa, Cuba, Mexico, Honduras, North America, Cuban peso, Mexican peso, Honduran lempira, Yucatec Maya, Nahuatl]",16
121,Blok Domestik Indonesia,"[South Tangerang, Malang, Surabaya, Tangerang, Bandung, Makassar, Palembang, Batam, Medan, Depok, Bekasi, Bandar Lampung, Semarang, Indonesia, Indonesian, Indonesian rupiah]",16
123,Blok Asia Selatan (Pakistan),"[Islamabad, Quetta, Faisalabad, Lahore, Rawalpindi, Peshawar, Multan, Gujranwala, Hyderabad, Karachi, Pakistan, Urdu, Indian rupee, Pakistani rupee]",14
