cityName,population,coords,countryName,continent,officialLanguage
Calgary,1306784,Point(-114.066666666 51.05),Canada,North America,French
Paris,2103778,Point(2.352222222 48.856666666),France,Europe,French
Brussels-Capital Region,1255795,Point(4.3525 50.846666666),Belgium,Europe,French
N'Djamena,1092066,Point(15.05 12.11),Chad,Africa,French
Montreal,1895211,Point(-73.5868411 45.5033426),Canada,North America,French
Toronto,2794356,Point(-79.386666666 43.670277777),Canada,North America,French
Ottawa,1017449,Point(-75.695 45.424722222),Canada,North America,French
Metropolis of Lyon,1436354,Point(4.853973694 45.7574955),France,Europe,French
Montreal,1762949,Point(-73.5868411 45.5033426),Canada,North America,French
Edmonton,1010899,Point(-113.5 53.533333333),Canada,North America,French
East Berlin,1279212,Point(13.404444444 52.518611111),German Democratic Republic,Europe,German
Pointe-Noire,1420612,Point(11.850277777 -4.7975),Republic of the Congo,Africa,French
Yaoundé,2440462,Point(11.518055555 3.857777777),Cameroon,Africa,French
Kigali,1745555,Point(30.115 -1.9525),Rwanda,Africa,French
Mbuji-Mayi,2201000,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French
Lubumbashi,1786397,Point(27.482777777 -11.664166666),Democratic Republic of the Congo,Africa,French
Douala,2768436,Point(9.7 4.05),Cameroon,Africa,French
Tshikapa,1006387,Point(20.8 -6.416666666),Democratic Republic of the Congo,Africa,French
Garoua,1750000,Point(13.4 9.3),Cameroon,Africa,French
Pikine,1170791,Point(-17.402055555 14.744),Senegal,Africa,French
Brazzaville,2145783,Point(15.271111111 -4.269444444),Republic of the Congo,Africa,French
Antananarivo,1275207,Point(47.525 -18.91),Madagascar,Africa,French
Dakar,1438725,Point(-17.432 14.672555555),Senegal,Africa,French
Kisangani,1366000,Point(25.191111111 0.515277777),Democratic Republic of the Congo,Africa,French
Kinshasa,14565700,Point(15.311944444 -4.321944444),Democratic Republic of the Congo,Africa,French
Mbuji-Mayi,1680991,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French
Abidjan,5616633,Point(-4.026666666 5.336388888),Ivory Coast,Africa,French
Conakry,1667864,Point(-13.712222222 9.509166666),Guinea,Africa,French
Mbuji-Mayi,1193891,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French
Kananga,1971704,Point(22.416666666 -5.896111111),Democratic Republic of the Congo,Africa,French
Lomé,2188376,Point(1.215833333 6.13),Togo,Africa,French
Mbuji-Mayi,2892000,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French
Mbuji-Mayi,1559073,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French
Mbuji-Mayi,1213726,Point(23.5967 -6.1209),Democratic Republic of the Congo,Africa,French
Hamburg,1910160,Point(10.0 53.55),Germany,Europe,German
Cologne,1087353,Point(6.957777777 50.942222222),Germany,Europe,German
Munich,1510378,Point(11.575 48.1375),Germany,Europe,German
Berlin,3782202,Point(13.383333333 52.516666666),Germany,Europe,German
Tripoli,1293016,Point(13.18746 32.87519),Italian Libya,Africa,Italian
Havana,2141652,Point(-82.358888888 23.136666666),Cuba,North America,Spanish
Havana,2492618,Point(-82.358888888 23.136666666),Cuba,North America,Spanish
Havana,2089532,Point(-82.358888888 23.136666666),Cuba,North America,Spanish
Hargeisa,1227620,Point(44.060556 9.565556),Somaliland,Africa,English
Hengyang,6645243,Point(112.58568 26.89676),Qing dynasty,Asia,Mongolian
Hengyang,6645243,Point(112.58568 26.89676),Qing dynasty,Asia,Chinese
Omdurman,2805396,Point(32.462887 15.683517),Sudan,Africa,English
Khartoum,5345000,Point(32.52654 15.60308),Sudan,Africa,English
Tbilisi,1118035,Point(44.7925 41.7225),Georgia,Europe,Abkhaz
Brussels-Capital Region,1255795,Point(4.3525 50.846666666),Belgium,Europe,German
Vienna,2028289,Point(16.3725 48.208333333),Austria,Europe,German
Monterrey,1142952,Point(-100.318055555 25.684444444),Mexico,North America,Spanish
Guadalajara,1385621,Point(-103.342222222 20.676388888),Mexico,North America,Spanish
Tijuana,1964788,Point(-117.037155 32.536447),Mexico,North America,Spanish
Mexico City,9209944,Point(-99.13589 19.353773),Mexico,North America,Spanish
Zapopan,1257547,Point(-103.391111111 20.720833333),Mexico,North America,Spanish
San Luis Potosí,2822255,Point(-100.975 22.149722222),Mexico,North America,Spanish
Veracruz,8062579,Point(-96.153333333 19.190277777),Mexico,North America,Spanish
León de Los Aldama,1579803,Point(-101.683333333 21.121944444),Mexico,North America,Spanish
Madrid,3506730,Point(-3.703333333 40.416944444),Spain,Europe,Spanish
Pampas,44399835,Point(-74.8667 -12.3989),Peru,South America,Spanish
Guayaquil,2650288,Point(-79.8875 -2.19),Ecuador,South America,Spanish
Panama City,1540000,Point(-79.534722222 8.971111111),Panama,North America,Spanish
Greater Mexico City,21905000,Point(-99.133158333 19.432519444),Mexico,North America,Spanish
Quito,1763275,Point(-78.5125 -0.22),Ecuador,South America,Spanish
Cali,2234400,Point(-76.5225 3.437222222),Colombia,South America,Spanish
San Diego,1386932,Point(-67.953888888 10.255833333),Venezuela,South America,Spanish
Rosario,1037710,Point(-60.639444444 -32.9575),Argentina,South America,Spanish
Santo Domingo,1029110,Point(-71.65 -33.633333333),Chile,South America,Spanish
Lima,9943800,Point(-77.0375 -12.06),Peru,South America,Spanish
Ciudad Juárez,1512450,Point(-106.42 31.6685),Mexico,North America,Spanish
Tegucigalpa,1055729,Point(-87.204705555 14.105783333),Honduras,North America,Spanish
Santo Domingo,2201941,Point(-69.936111111 18.4625),Dominican Republic,North America,Spanish
Greater Buenos Aires,13985794,Point(-58.3719 -34.6083),Argentina,South America,Spanish
El Paso–Juárez,2400000,Point(-106.48694444 31.73944444),Mexico,North America,Spanish
Medellín,2529403,Point(-75.5675845 6.250200154),Colombia,South America,Spanish
Bogotá,8034649,Point(-74.08175 4.60971),Colombia,South America,Spanish
Arequipa,1008290,Point(-71.536944444 -16.398888888),Peru,South America,Spanish
Buenos Aires,3121707,Point(-58.381944444 -34.599722222),Argentina,South America,Spanish
Casablanca,3218036,Point(-71.416666666 -33.316666666),Chile,South America,Spanish
Santiago,6269384,Point(-72.443676 -12.6175153),Peru,South America,Spanish
Maracaibo,1551539,Point(-71.633333333 10.633333333),Venezuela,South America,Spanish
Santiago,6257516,Point(-70.65 -33.4375),Chile,South America,Spanish
Madrid city,3332035,Point(-3.70256 40.4165),Spain,Europe,Spanish
Ciudad Juárez,1321004,Point(-106.42 31.6685),Mexico,North America,Spanish
