"cityName","currency"
"Puli Khumri","Afghan afghani"
"Taloqan","Afghan afghani"
"Delaram","Afghan afghani"
"Panjab, Afghanistan","Afghan afghani"
"Sar-e Pol, Afghanistan","Afghan afghani"
"Sar-e-Pol, Afghanistan","Afghan afghani"
"Jalalabad","Afghan afghani"
"Kabul","Afghan afghani"
"Lashkargah","Afghan afghani"
"Qalati Ghilji","Afghan afghani"
"Mazar-i-Sharif","Afghan afghani"
"Ghazni","Afghan afghani"
"Gardez","Afghan afghani"
"Kunduz","Afghan afghani"
"Asadabad, Afghanistan","Afghan afghani"
"Nili, Afghanistan","Afghan afghani"
"Nili, Daikundi","Afghan afghani"
"Herat","Afghan afghani"
"Shibar","Afghan afghani"
"Shindand","Afghan afghani"
"Chaghcharan","Afghan afghani"
"Firuzkoh","Afghan afghani"
"Chora, Afghanistan","Afghan afghani"
"Kwajaha","Afghan afghani"
"Kandahar","Afghan afghani"
"Zaranj","Afghan afghani"
"Fayzabad, Badakhshan","Afghan afghani"
"Baghlan","Afghan afghani"
"Charikar","Afghan afghani"
"Aybak, Samangan","Afghan afghani"
"Rostaq, Afghanistan (village)","Afghan afghani"
"Bala Murghab","Afghan afghani"
"Paghman","Afghan afghani"
"Khost","Afghan afghani"
"Khan Abad","Afghan afghani"
"Tirana","Albanian lek"
"Shkodër","Albanian lek"
"Cërrik","Albanian lek"
"Durrës","Albanian lek"
"Vlorë","Albanian lek"
"Bulqizë","Albanian lek"
"Andkhoy (city)","Afghan afghani"
"Farah, Afghanistan","Afghan afghani"
"Mahmud-i-Raqi","Afghan afghani"
"Spin Boldak","Afghan afghani"
"Bazarak","Afghan afghani"
"Bamyan","Afghan afghani"
"Yakawlang","Afghan afghani"
"Mihtarlam","Afghan afghani"
"Sheberghan","Afghan afghani"
"Puli Alam","Afghan afghani"
"Kholm, Afghanistan","Afghan afghani"
"Sharana","Afghan afghani"
"Taywara","Afghan afghani"
"Béchar","Algerian dinar"
"El Harrach","Algerian dinar"
"El Eulma","Algerian dinar"
"Laghouat","Algerian dinar"
"Saïda, Algeria","Algerian dinar"
"Khemis Miliana","Algerian dinar"
"Blida","Algerian dinar"
"Mostaganem","Algerian dinar"
"Aïn El Kebira","Algerian dinar"
"Sidi Abdelaziz","Algerian dinar"
"Brézina","Algerian dinar"
"Djezar","Algerian dinar"
"Guittena","Algerian dinar"
"Rachgoun","Algerian dinar"
"Algiers","Algerian dinar"
"Annaba","Algerian dinar"
"Chlef","Algerian dinar"
"Médéa","Algerian dinar"
"Relizane","Algerian dinar"
"Barika","Algerian dinar"
"El Taref","Algerian dinar"
"Tissemsilt","Algerian dinar"
"Sougueur","Algerian dinar"
"Aïn Abid","Algerian dinar"
"Aïn Zaouia","Algerian dinar"
"Sidi Taifour","Algerian dinar"
"Tamazirt (city)","Algerian dinar"
"Aflou","Algerian dinar"
"Batna (city)","Algerian dinar"
"Oran","Algerian dinar"
"Sidi Bel Abbès","Algerian dinar"
"Tiaret","Algerian dinar"
"Biskra","Algerian dinar"
"Khenchela","Algerian dinar"
"Oum El Bouaghi","Algerian dinar"
"Tamanrasset","Algerian dinar"
"Tébessa","Algerian dinar"
"Ouargla","Algerian dinar"
"Tlemcen","Algerian dinar"
"Adrar, Algeria","Algerian dinar"
"Constantine, Algeria","Algerian dinar"
"Jijel","Algerian dinar"
"Sétif","Algerian dinar"
"Boumerdès","Algerian dinar"
"Naâma","Algerian dinar"
"M'Sila, Algeria","Algerian dinar"
"Aokas","Algerian dinar"
"Chelghoum Laïd","Algerian dinar"
"Ouenza","Algerian dinar"
"Gharrous","Algerian dinar"
"Bordj Bou Arréridj","Algerian dinar"
"Mascara, Algeria","Algerian dinar"
"Arzew","Algerian dinar"
"Djelfa","Algerian dinar"
"Beniane","Algerian dinar"
"Collo","Algerian dinar"
"Tighennif","Algerian dinar"
"Béjaïa","Algerian dinar"
"Bordj Menaïel","Algerian dinar"
"Sidi Chami","Algerian dinar"
"Ghardaïa","Algerian dinar"
"Taher","Algerian dinar"
"Tizi Ouzou","Algerian dinar"
"Touggourt","Algerian dinar"
"Aïn Beïda, Oum El Bouaghi","Algerian dinar"
"Nedroma","Algerian dinar"
"Kaous, Algeria","Algerian dinar"
"Rusuccuru (Titular See)","Algerian dinar"
"Dellys","Algerian dinar"
"Mila (city)","Algerian dinar"
"Skikda","Algerian dinar"
"Tindouf","Algerian dinar"
"Djanet","Algerian dinar"
"Sidi Lakhdar","Algerian dinar"
"El Oued","Algerian dinar"
"Bernal, Argentina","Argentine peso"
"Catumbela","Angolan kwanza"
"Mercedes, Buenos Aires","Argentine peso"
"Pico Truncado","Argentine peso"
"Tinogasta","Argentine peso"
"Moreno, Buenos Aires","Argentine peso"
"San José de Jáchal","Argentine peso"
"Valentín Alsina, Buenos Aires","Argentine peso"
"Aguilares, Argentina","Argentine peso"
"Villa Unión","Argentine peso"
"Caxito","Angolan kwanza"
"San Miguel, Buenos Aires","Argentine peso"
"Ciudad Perico","Argentine peso"
"Isidro Casanova","Argentine peso"
"Ciudad Madero, Argentina","Argentine peso"
"Coronel Martínez de Hoz","Argentine peso"
"Fray Luis Beltrán, Santa Fe","Argentine peso"
"Pilar, Córdoba","Argentine peso"
"Benguela","Angolan kwanza"
"Calulo","Angolan kwanza"
"Cangumbe","Angolan kwanza"
"Tômbua","Angolan kwanza"
"Uaco Cungo","Angolan kwanza"
"Luanda","Angolan kwanza"
"Dundo","Angolan kwanza"
"Huambo","Angolan kwanza"
"Ondjiva","Angolan kwanza"
"Xangongo","Angolan kwanza"
"M'banza-Kongo","Angolan kwanza"
"Lubango","Angolan kwanza"
"Moçâmedes","Angolan kwanza"
"Soyo","Angolan kwanza"
"Belas, Luanda","Angolan kwanza"
"Baía Farta","Angolan kwanza"
"Vila Estoril","Angolan kwanza"
"Sumbe","Angolan kwanza"
"Ícolo e Bengo","Angolan kwanza"
"Cabinda (city)","Angolan kwanza"
"Malanje","Angolan kwanza"
"Luena, Angola","Angolan kwanza"
"Lobito","Angolan kwanza"
"Cacuaco","Angolan kwanza"
"Cazenga","Angolan kwanza"
"Gabela, Angola","Angolan kwanza"
"Porto Amboim","Angolan kwanza"
"N'dalatando","Angolan kwanza"
"Viana, Luanda","Angolan kwanza"
"Dondo, Angola","Angolan kwanza"
"Bailundo","Angolan kwanza"
"Buenos Aires","Argentine peso"
"Gualeguaychú, Entre Ríos","Argentine peso"
"Monte Grande","Argentine peso"
"Salto, Buenos Aires","Argentine peso"
"Villa Nueva, Mendoza","Argentine peso"
"La Carlota, Argentina","Argentine peso"
"Larroque, Entre Ríos","Argentine peso"
"Quitilipi","Argentine peso"
